ref_no,name,description,category,page_no,catalogue,image_url,website_url,catalog_page_image_url,keywords
HE-100,Label Dispenser Gun,"Handheld label dispenser gun for roll labels up to 35mm wide. Lightweight and ergonomic design for high-volume label application in warehouses and production environments.",Application Tools,5,handling_equipment,https://picsum.photos/seed/labeldispenser/400/300,https://www.tvh.com/en-be/search?q=label+dispenser+gun,https://picsum.photos/seed/cat-he5/600/420,"label dispenser, gun, roll labels, handheld, warehouse, labelling"
HE-101,Decal Application Squeegee Kit,"Professional felt-edge squeegee kit for bubble-free decal and vinyl application. Includes three squeegee sizes. Prevents air pockets when applying large decals to machinery.",Application Tools,5,handling_equipment,https://picsum.photos/seed/squeegeekit/400/300,https://www.tvh.com/en-be/search?q=decal+application+squeegee,https://picsum.photos/seed/cat-he5/600/420,"squeegee, decal application, felt edge, vinyl, bubble free, tool kit"
HE-102,Heat Gun for Decal Application 230V,"Professional 230V heat gun for shrinking and bonding vinyl decals and labels to curved or uneven surfaces. Variable temperature control. Includes concentrator nozzle.",Application Tools,6,handling_equipment,https://picsum.photos/seed/heatgun230/400/300,https://www.tvh.com/en-be/search?q=heat+gun+decal+vinyl,https://picsum.photos/seed/cat-he6/600/420,"heat gun, vinyl, decal, 230V, curved surfaces, shrink, temperature control"
HE-200,Adjustable Wall-Mount Sign Bracket,"Heavy-duty adjustable angle wall-mounting bracket for signs and boards. Powder-coated steel. Fits most standard sign formats. Suitable for indoor and outdoor use.",Mounting Hardware,9,handling_equipment,https://picsum.photos/seed/wallbracket/400/300,https://www.tvh.com/en-be/search?q=wall+mount+sign+bracket,https://picsum.photos/seed/cat-he9/600/420,"sign bracket, wall mount, adjustable angle, mounting hardware, indoor outdoor, steel"
HE-201,Freestanding Sign Post Stand,"Weighted freestanding sign post stand with adjustable height. Accepts standard A4 and A3 sign frames. Suitable for temporary or permanent sign placement on floors.",Mounting Hardware,9,handling_equipment,https://picsum.photos/seed/signpoststand/400/300,https://www.tvh.com/en-be/search?q=freestanding+sign+stand,https://picsum.photos/seed/cat-he9/600/420,"sign stand, freestanding, post, A4, A3, floor, portable, weighted base"
HE-202,Magnetic Sign Backing Plate,"Self-adhesive magnetic backing plate for attaching signs to metal equipment surfaces such as forklift masts and cabinet doors. Can be repositioned without damage.",Mounting Hardware,10,handling_equipment,https://picsum.photos/seed/magbacking/400/300,https://www.tvh.com/en-be/search?q=magnetic+sign+backing+plate,https://picsum.photos/seed/cat-he10/600/420,"magnetic, backing plate, sign attachment, metal surface, forklift, repositionable"
HE-300,Surface Cleaning Wipes Pre-Application,"Pack of surface cleaning and degreasing wipes for preparing equipment surfaces before decal or label application. Removes oil, dust and grease for maximum adhesion.",Surface Prep,12,handling_equipment,https://picsum.photos/seed/cleanwipes/400/300,https://www.tvh.com/en-be/search?q=surface+cleaning+wipes+decal,https://picsum.photos/seed/cat-he12/600/420,"cleaning wipes, surface prep, degreasing, adhesion, decal application, pre-application"
HE-301,Degreaser Spray for Equipment Surfaces,"Industrial degreaser spray formulated for oily metal surfaces on forklifts, MEWPs and warehouse equipment. Fast-acting, leaves no residue. Improves decal adhesion.",Surface Prep,12,handling_equipment,https://picsum.photos/seed/degreaser/400/300,https://www.tvh.com/en-be/search?q=degreaser+spray+forklift+MEWP,https://picsum.photos/seed/cat-he12/600/420,"degreaser, spray, forklift, MEWP, oily surfaces, metal, adhesion, industrial"
HE-400,UV-Resistant Protective Laminate Film Roll,"Clear UV-resistant laminate film roll for protecting outdoor signs and decals from weathering, fading and abrasion. 1.2m wide, 25m roll. Gloss finish.",Protective Accessories,15,handling_equipment,https://picsum.photos/seed/laminatefilm/400/300,https://www.tvh.com/en-be/search?q=UV+laminate+film+sign+protection,https://picsum.photos/seed/cat-he15/600/420,"laminate film, UV resistant, outdoor, protection, weather, signage, gloss, roll"
HE-401,Anti-Slip Floor Sign Coating Spray,"Anti-slip coating spray for floor-mounted safety signs and decals. Provides durable slip-resistant surface. Clear finish. Suitable for high-traffic warehouse floors.",Protective Accessories,15,handling_equipment,https://picsum.photos/seed/antislip/400/300,https://www.tvh.com/en-be/search?q=anti+slip+floor+sign+coating,https://picsum.photos/seed/cat-he15/600/420,"anti-slip, floor signs, coating, spray, slip resistant, warehouse, safety, decal"
HE-500,First Aid Kit Wall Cabinet,"Wall-mounted first aid kit cabinet with British Standard-compliant contents. Matches BS 8599-1 workplace requirements. Green with white cross. Suitable for all workplaces.",Safety Equipment,20,handling_equipment,https://picsum.photos/seed/firstaidcabinet/400/300,https://www.tvh.com/en-be/search?q=first+aid+kit+wall+cabinet,https://picsum.photos/seed/cat-he20/600/420,"first aid kit, wall cabinet, BS 8599, workplace, green, medical, emergency"
HE-501,Fire Extinguisher Wall Bracket,"Heavy-duty fire extinguisher wall mounting bracket. Fits standard 6kg and 9kg extinguishers. Powder-coated red steel. Keeps extinguishers secure and accessible.",Safety Equipment,20,handling_equipment,https://picsum.photos/seed/extbracket/400/300,https://www.tvh.com/en-be/search?q=fire+extinguisher+wall+bracket,https://picsum.photos/seed/cat-he20/600/420,"fire extinguisher, bracket, wall mount, red, 6kg, 9kg, fire safety, secure"
HE-600,Industrial Thermal Transfer Label Printer,"Heavy-duty industrial thermal transfer label printer. Prints on rolls up to 110mm wide. USB and Ethernet connectivity. Compatible with most label software. 300dpi resolution.",Printing Equipment,22,handling_equipment,https://picsum.photos/seed/labelprinter/400/300,https://www.tvh.com/en-be/search?q=industrial+thermal+label+printer,https://picsum.photos/seed/cat-he22/600/420,"label printer, thermal transfer, industrial, 110mm, USB, Ethernet, 300dpi, warehouse"
HE-601,Thermal Transfer Ribbon Black 110mm × 300m,"Premium black resin thermal transfer ribbon, 110mm wide, 300m per roll. Compatible with most industrial label printers. Long-lasting, smudge-proof print quality.",Printing Equipment,22,handling_equipment,https://picsum.photos/seed/thermalribbon/400/300,https://www.tvh.com/en-be/search?q=thermal+transfer+ribbon+black+110mm,https://picsum.photos/seed/cat-he22/600/420,"thermal ribbon, black, 110mm, 300m, resin, label printer, smudge proof, industrial"
